,Date,State,Thermal,Hydro,Gas/Diesel/Naptha,Wind,Day,Month,Year
308,16-09-2022,BIHAR,439.17,0.0,0.0,17.92,16,9,2022
309,15-09-2022,BIHAR,373.33,0.0,0.0,12.92,15,9,2022
310,14-09-2022,BIHAR,422.08,0.0,0.0,13.75,14,9,2022
311,13-09-2022,BIHAR,389.58,0.0,0.0,15.42,13,9,2022
312,12-09-2022,BIHAR,398.33,0.0,0.0,14.58,12,9,2022
313,11-09-2022,BIHAR,384.17,0.0,0.0,23.33,11,9,2022
314,10-09-2022,BIHAR,414.17,0.0,0.0,22.92,10,9,2022
315,09-09-2022,BIHAR,443.75,0.0,0.0,22.08,9,9,2022
316,08-09-2022,BIHAR,428.33,0.0,0.0,15.83,8,9,2022
317,07-09-2022,BIHAR,400.83,0.0,0.0,22.08,7,9,2022
318,06-09-2022,BIHAR,396.67,0.0,0.0,15.42,6,9,2022
319,05-09-2022,BIHAR,350.83,0.0,0.0,20.0,5,9,2022
320,04-09-2022,BIHAR,430.83,0.0,0.0,20.42,4,9,2022
321,03-09-2022,BIHAR,312.92,0.0,0.0,17.5,3,9,2022
322,02-09-2022,BIHAR,181.67,0.0,0.0,20.83,2,9,2022
323,01-09-2022,BIHAR,237.08,0.0,0.0,20.83,1,9,2022
324,31-08-2022,BIHAR,201.25,0.0,0.0,20.0,31,8,2022
325,30-08-2022,BIHAR,212.92,0.0,0.0,20.0,30,8,2022
326,29-08-2022,BIHAR,220.83,0.0,0.0,24.58,29,8,2022
327,28-08-2022,BIHAR,110.83,0.0,0.0,10.83,28,8,2022
328,27-08-2022,BIHAR,0.0,0.0,0.0,22.5,27,8,2022
329,26-08-2022,BIHAR,0.0,0.0,0.0,21.25,26,8,2022
330,25-08-2022,BIHAR,50.83,0.0,0.0,34.58,25,8,2022
331,24-08-2022,BIHAR,235.42,0.0,0.0,24.58,24,8,2022
332,23-08-2022,BIHAR,220.0,0.0,0.0,31.67,23,8,2022
333,22-08-2022,BIHAR,203.33,0.0,0.0,26.25,22,8,2022
334,21-08-2022,BIHAR,195.42,0.0,0.0,22.92,21,8,2022
335,20-08-2022,BIHAR,342.08,0.0,0.0,14.17,20,8,2022
336,19-08-2022,BIHAR,398.33,0.0,0.0,10.0,19,8,2022
337,18-08-2022,BIHAR,393.33,0.0,0.0,25.83,18,8,2022
338,17-08-2022,BIHAR,404.58,0.0,0.0,25.42,17,8,2022
339,16-08-2022,BIHAR,438.33,0.0,0.0,25.42,16,8,2022
340,15-08-2022,BIHAR,351.67,0.0,0.0,18.33,15,8,2022
341,14-08-2022,BIHAR,344.17,0.0,0.0,15.83,14,8,2022
342,13-08-2022,BIHAR,424.58,0.0,0.0,22.5,13,8,2022
343,12-08-2022,BIHAR,476.67,0.0,0.0,20.83,12,8,2022
344,11-08-2022,BIHAR,436.25,0.0,0.0,14.58,11,8,2022
345,10-08-2022,BIHAR,363.33,0.0,0.0,15.83,10,8,2022
346,09-08-2022,BIHAR,342.5,0.0,0.0,19.17,9,8,2022
347,08-08-2022,BIHAR,446.25,0.0,0.0,23.75,8,8,2022
348,07-08-2022,BIHAR,402.08,0.0,0.0,21.67,7,8,2022
349,06-08-2022,BIHAR,385.83,0.0,0.0,24.58,6,8,2022
350,05-08-2022,BIHAR,434.58,0.0,0.0,26.25,5,8,2022
351,04-08-2022,BIHAR,461.25,0.0,0.0,20.42,4,8,2022
352,03-08-2022,BIHAR,431.67,0.0,0.0,22.92,3,8,2022
353,02-08-2022,BIHAR,372.92,0.0,0.0,16.67,2,8,2022
354,01-08-2022,BIHAR,420.83,0.0,0.0,27.5,1,8,2022
355,31-07-2022,BIHAR,402.92,0.0,0.0,15.42,31,7,2022
356,30-07-2022,BIHAR,509.17,0.0,0.0,20.0,30,7,2022
357,29-07-2022,BIHAR,450.83,0.0,0.0,20.83,29,7,2022
358,28-07-2022,BIHAR,436.67,0.0,0.0,20.83,28,7,2022
359,27-07-2022,BIHAR,451.67,0.0,0.0,19.58,27,7,2022
360,26-07-2022,BIHAR,230.83,0.0,0.0,21.67,26,7,2022
361,25-07-2022,BIHAR,197.92,0.0,0.0,23.75,25,7,2022
362,24-07-2022,BIHAR,375.0,0.0,0.0,22.5,24,7,2022
363,23-07-2022,BIHAR,361.25,0.0,0.0,29.58,23,7,2022
364,22-07-2022,BIHAR,342.92,0.0,0.0,15.42,22,7,2022
365,21-07-2022,BIHAR,323.75,0.0,0.0,13.75,21,7,2022
366,20-07-2022,BIHAR,445.42,0.0,0.0,19.17,20,7,2022
367,19-07-2022,BIHAR,489.17,0.0,0.0,23.33,19,7,2022
368,18-07-2022,BIHAR,487.08,0.0,0.0,24.17,18,7,2022
369,17-07-2022,BIHAR,441.67,0.0,0.0,26.25,17,7,2022
370,16-07-2022,BIHAR,437.92,0.0,0.0,25.42,16,7,2022
371,15-07-2022,BIHAR,468.75,0.0,0.0,28.75,15,7,2022
372,14-07-2022,BIHAR,477.08,0.0,0.0,26.25,14,7,2022
373,13-07-2022,BIHAR,438.33,0.0,0.0,25.83,13,7,2022
374,12-07-2022,BIHAR,308.33,0.0,0.0,25.0,12,7,2022
375,11-07-2022,BIHAR,412.5,0.0,0.0,22.92,11,7,2022
376,10-07-2022,BIHAR,480.0,0.0,0.0,26.25,10,7,2022
377,09-07-2022,BIHAR,326.67,0.0,0.0,25.83,9,7,2022
378,08-07-2022,BIHAR,221.67,0.0,0.0,27.5,8,7,2022
379,07-07-2022,BIHAR,242.92,0.0,0.0,25.83,7,7,2022
380,06-07-2022,BIHAR,309.58,0.0,0.0,20.42,6,7,2022
381,05-07-2022,BIHAR,442.92,0.0,0.0,26.25,5,7,2022
